a52dec 0.7.4-9
gsfonts 20170829-1
gsm 1.0.17-1
gsound 1.0.2-2
gspell 1.8.0-1
gssproxy 0.8.0-1
gst-libav 1.14.0-1
gst-plugins-bad 1.14.0-2
gst-plugins-base 1.14.0-1
gst-plugins-base-libs 1.14.0-1
gst-plugins-good 1.14.0-1
gst-plugins-ugly 1.14.0-1
gstreamer 1.14.0-1
gthumb 3.6.1-1
gtk-update-icon-cache 3.22.30-1
gtk2 2.24.32-1
gtk3 3.22.30-1
gtkmm 2.24.5-2
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview-pkgbuild 3-2
gtksourceview2 2.10.5-3
gtksourceview3 3.24.7-1
gtkspell3 3.0.9-3
gufw 18.04.0-1
gutenprint 5.2.14-1
gvfs 1.36.1-1
gvfs-afc 1.36.1-1
gvfs-goa 1.36.1-1
gvfs-google 1.36.1-1
gvfs-mtp 1.36.1-1
gvfs-smb 1.36.1-1
gzip 1.9-1
harfbuzz 1.7.6-2
harfbuzz-icu 1.7.6-2
haveged 1.9.1-4
hdparm 9.56-1
hexchat 2.14.1-2
hicolor-icon-theme 0.17-1
hplip 3.18.4-2
hspell 1.4-1
hunspell 1.6.2-1
hwids 20171003-1
hwinfo 21.52-1
hyphen 2.8.8-1
iana-etc 20180221-1
icu 61.1-1
ijs 0.35-1
ilmbase 2.2.1-1
imagemagick 7.0.7.28-1
imagewriter 1.10.1420800585.134a9b3-4
imlib2 1.5.1-1
inetutils 1.9.4-5
intel-ucode 20180312-0
inxi 3.0.07-1
iproute2 4.16.0-1
iptables 1.6.2-2
iputils 20161105.1f2bb12-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
iso-codes 3.76-1
iw 4.14-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
java-runtime-common 3-1
jbig2dec 0.14-1
jfsutils 1.1.15-4
jre8-openjdk 8.u172-2
jre8-openjdk-headless 8.u172-2
js52 52.7.3-2
json-c 0.13-1
json-glib 1.4.2-2
kauth 5.45.0-1
kbd 2.0.4-1
kcoreaddons 5.45.0-1
kernel-alive 0.3-3
keyutils 1.5.10-1
kitemmodels 5.45.0-1
kmod 24-1
krb5 1.16-1
kvantum-manjaro 0.10.6-1
kvantum-qt5 0.10.6-1
ladspa 1.13-6
lame 3.100-1
lcms2 2.9-1
ldb 1.3.2-1
ldns 1.7.0-4
less 530-1
lib32-alsa-lib 1.1.6-1
lib32-alsa-plugins 1.1.6-1
lib32-attr 2.4.47-2
lib32-bzip2 1.0.6-2
lib32-dbus 1.12.6-1
lib32-expat 2.2.5-1
lib32-flac 1.3.2-1
lib32-gcc-libs 7.3.1+20180406-1
lib32-glew 2.1.0-1
lib32-glib2 2.56.0+7+g66948ae23-1
lib32-glibc 2.27-2
lib32-glu 9.0.0-3
lib32-icu 61.1-1
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcanberra 0.30+2+gc0620e4-1
lib32-libcanberra-pulse 0.30+2+gc0620e4-1
lib32-libcap 2.25-1
lib32-libdrm 2.4.91-3
lib32-libelf 0.170-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.8.2-1
lib32-libglvnd 1.0.0-1
lib32-libgpg-error 1.27-1
lib32-libice 1.0.9-3
lib32-libltdl 2.4.6+40+g6ca5e224-4
lib32-libogg 1.3.3-2
lib32-libpciaccess 0.14-1
lib32-libpulse 11.1-1
lib32-libsm 1.2.2-2
lib32-libsndfile 1.0.28-1
lib32-libvorbis 1.3.6-1
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.13-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxi 1.7.9-1
lib32-libxml2 2.9.8-2
lib32-libxmu 1.1.2-1
lib32-libxshmfence 1.3-1
lib32-libxss 1.2.2-2
lib32-libxt 1.1.5-1
lib32-libxtst 1.2.3-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 6.0.0-1
lib32-lm_sensors 3.4.0-1
lib32-mesa 18.0.3-0
lib32-mesa-demos 8.4.0-1
lib32-ncurses 6.1-1
lib32-pcre 8.41-1
lib32-readline 7.0.003-1
lib32-systemd 238.76-1
lib32-tdb 1.3.15-2
lib32-util-linux 2.32-1
lib32-wayland 1.14.0-1
lib32-xz 5.2.3-1
lib32-zlib 1.2.11-1
libabw 0.1.2-1
libaccounts-glib 1.23-2
libaio 0.3.111-1
libao 1.2.2-2
libarchive 3.3.2-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.6.4-1
libavc1394 0.5.4-3
libblockdev 2.16-1
libbluray 1.0.2-1
libbs2b 3.1.0-6
libbsd 0.8.7-1
libbytesize 1.2-1
libcaca 0.99.beta19-1
libcanberra 0.30+2+gc0620e4-1
libcanberra-pulse 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libcdr 0.1.4-3
libchamplain 0.12.16-1
libcmis 0.5.1-8
libcroco 0.6.12+4+g9ad7287-1
libcryptui 3.12.2+24+gd5e5bc5-1
libcups 2.2.7-2
libdaemon 0.14-3
libdatrie 0.2.10-2
libdazzle 3.28.1-1
libdc1394 2.2.5-1
libdca 0.0.5-5
libdmapsharing 2.9.39-1
libdrm 2.4.91-3
libdv 1.0.0-7
libdvdcss 1.4.2-1
libdvdnav 6.0.0-1
libdvdread 6.0.0-1
libe-book 0.1.3-2
libedit 20170329_3.1-1
libelf 0.170-1
libepoxy 1.5.1+6+gb80ea6a-1
